Title,Abstract,related,prevent,monitor,analyze
Offline analysis of secondary formation markers in ambient organic aerosols by liquid chromatography coupled with time-of-flight mass spectrometry,"The present study provides a comprehensive assessment of the quantitative analysis by high-performance liquid chromatography coupled with dual orthogonal electrospray ionization time-of-flight mass spectrometry (HPLC-ESI-TOF-MS) of pinene markers, biomass-burning related phenols, and other relevant carboxylic acids in atmospheric aerosol samples. Significant insights into the quantitative determination are offered on the basis of systematic experiments targeting the optimization of chromatographic separation, ionization source, and mass spectrometer performance. After testing three analytical columns, the best separation of the compounds of interest was achieved on a Poroshell 120 EC[sbnd]C18 column (4.6 × 50 mm, 2.7 µm) thermostated at 35 °C, operating in gradient elution mode with 0.1% acetic acid in water and acetonitrile at a 0.8 mL min−1 flow rate. Optimal operational conditions for the ESI-TOF-MS instrument were identified as a 350 °C drying gas temperature, 13 L min−1 drying gas flow rate, 60 psig nebulizer pressure, 3000 V for the ion transfer capillary, 60 V for the skimmer, and 150 V for the fragmentor. Additionally, the matrix effect on the ESI efficiency and the spike recovery factors of the compounds were tested. Method quantification limits can go as low as in the 0.88–48.0 μg L − 1 (3.67–200 pg m − 3, at 120 m3 of sampled air) range. The developed method was shown to be reliable for the quantification of the targeted compounds in real atmospheric aerosol samples. The accuracy in the molecular mass determination of less than 5 ppm and the acquisition in the full scan mode were shown to bring additional insights into the organic constituents in atmospheric aerosols. © 2023",,,,
"Source apportionment of fine particulate matter at a megacity in China, using an improved regularization supervised PMF model","The source apportionment of particulate matter plays an important role in solving the atmospheric particulate pollution. Positive matrix factorization (PMF) is a widely used source apportionment model. At present, high resolution online datasets are increasingly rich, but acquiring accurate and timely source apportionment results is still challenging. Integrating prior knowledge into modelling process is an effective solution and can yield reliable results. This study proposed an improved source apportionment method for the regularization supervised PMF model (RSPMF). This method leveraged actual source profile to guide factor profile for rapidly and automatically identifying source categories and quantifying source contributions. The results showed that the factor profile from RSPMF could be interpreted as seven factors and approach to actual source profile. Average source contributions were also an agreement between RSPMF and EPAPMF, including secondary nitrate (26 %, 27 %), secondary sulfate (23 %, 24 %), coal combustion (18 %, 18 %), vehicle exhaust (15 %, 15 %), biomass burning (10 %, 9 %), dust (5 %, 4 %), industrial emission (3 %, 3 %). The solutions of RSPMF also exhibited good generalizability during different episodes. This study reveals the superiority of supervised model, this model embeds prior knowledge into modelling process to guide model for obtaining more reliable results. © 2023 Elsevier B.V.",,,,
Aqueous-phase chemistry of atmospheric phenolic compounds: A critical review of laboratory studies,"Phenolic compounds (PhCs) are crucial atmospheric pollutants typically emitted by biomass burning and receive particular concerns considering their toxicity, light-absorbing properties, and involvement in secondary organic aerosol (SOA) formation. A comprehensive understanding of the transformation mechanisms on chemical reactions in atmospheric waters (i.e., cloud/fog droplets and aerosol liquid water) is essential to predict more precisely the atmospheric fate and environmental impacts of PhCs. Laboratory studies play a core role in providing the fundamental knowledge of aqueous-phase chemical transformations in the atmosphere. This article critically reviews recent laboratory advances in SOA formation from the aqueous-phase reactions of PhCs. It focuses primarily on the aqueous oxidation of PhCs driven by two atmospheric reactive species: OH radicals and triplet excited state organics, including the important chemical kinetics and mechanisms. The effects of inorganic components (i.e., nitrate and nitrite) and transition metal ions (i.e., soluble iron) are highlighted on the aqueous-phase transformation of PhCs and on the properties and formation mechanisms of SOA. The review is concluded with the current knowledge gaps and future perspectives for a better understanding of the atmospheric transformation and SOA formation potential of PhCs. © 2022 Elsevier B.V.",,,,
"Atmospheric humic-like substances (HULIS) in Chongqing, Southwest China: Abundance, light absorption properties, and potential sources","Atmospheric humic-like substances (HULIS) have a great impact on radiative forcing and atmospheric oxidative capacity due to their efficient light absorption properties. Knowledge on atmospheric HULIS abundance and light absorption properties in southwest China is still very limited. In this study, a total of 81 daily samples of fine particulate matter (PM2.5) were collected at two sites in Chongqing during four one-month periods in 2015, each of which representing a typical season. Mass concentrations of HULIS in term of carbon (HULIS-C) were measured by a total organic carbon analyzer, while mass absorption efficiency at 365 nm (MAE365) and absorption Ångström exponent (AAE) were estimated from light absorption of HULIS that was recorded by UV–visible spectrophotometry. The annual mean concentration of HULIS-C was around 3.4 ± 1.6 μg m−3, while the annual mean values of MAE365 and AAE were approximately 2.7 ± 0.7 m2 g−1C and 4.0 ± 0.2, respectively. Seasonal variations were significant for MAE365 but negligible for AAE at both sites. A direct comparison of MAE365 of HULIS in this study with the median MAE365 values from different sources in laboratory studies indicated that crop residues burning and/or wood burning were the primary sources of light-absorbing HULIS, as is also supported by the strong correlation between the light absorption coefficient at 365 nm (Abs365) and K+ (r > 0.85, p < 0.01) throughout the year. Furthermore, the good correlation between Abs365 and secondary organic carbon implied secondary sources also contributed to light-absorbing HULIS (e.g., nitrated aromatic compounds production), as evidenced by the good correlation between Abs365 and NO3− and NH4+. The contribution of primary and secondary sources to light-absorbing HULIS was quantified using a machine learning algorithm, which showed >65% contribution from primary sources during the cold season, but only 35% during the warm seasons. © 2023",,,,
PH dependence of brown-carbon optical properties in cloud water,"Light-Absorbing organic species present in aerosols, collectively called brown carbon (BrC), have important but highly uncertain effects on climate. Clouds likely represent a significant medium for secondary BrC production and for bleaching reactions, though the relative importance of the formation and loss processes in clouds is unknown at present. The acidity (or pH) of atmospheric particles and clouds affects the optical properties of BrC and bleaching rates. Given the wide variability of pH in the atmosphere (pH in particles and clouds ranges from-1 to 8), the optical properties of BrC and its bleaching behavior are expected to vary significantly, and the link between pH and BrC is yet another uncertainty in attempts to constrain its climate forcing effects. In this work, we characterize the pH dependence of BrC optical properties-including light absorption at 365 nm (Abs365), the mass absorption coefficient (MAC365), and the absorption Ångström exponent (AAE)-in bulk cloud water sampled from the summit of Whiteface Mountain, NY. In all samples (nCombining double low line17), Abs365 and MAC365 increased linearly with increasing pH, highlighting the importance of reporting pH in studies of BrC in aqueous media. There was strong variability in the sensitivity of Abs365 to pH, with normalized slopes that ranged from 5.1 % to 17.2 % per pH unit. The normalized slope decreased strongly with increasing cloud water [K+], suggesting that the non-biomass-burning BrC has optical properties that are more sensitive to pH than BrC associated with biomass burning. AAE also showed a distinct pH dependence as it was relatively flat between pH 1.5-5 and then decreased significantly above pH 5. The cloud water composition was used to inform thermodynamic predictions of aerosol pH upwind and/or downwind of Whiteface Mountain and the subsequent changes in BrC optical properties. Overall, these results show that, in addition to secondary BrC production, photobleaching, and the altitudinal distribution, the climate forcing of BrC is quite strongly affected by its pH-dependent absorption.  © Copyright: ",,,,
Quantitative assessment of the impact of biomass burning episodes on surface solar radiation using machine learning technology: A case study of a pollution event in Beijing,"As an important source of pollutants in Beijing, biomass burning (BB) aerosols emitted by BB have a strong absorption and scattering effect on surface solar radiation (SSR). However, the existence of meteorological factors has a powerful impact on the estimation of the BB aerosol radiation effect. In this paper, a deweathered technique based on machine learning is presented to quantitatively isolate the influence of weather conditions from the radiative effect of BB aerosols. Furthermore, the seasonal trend of SSR is constrained by removing the general seasonal changes by the detrending method. The BB event on October 7–11, 2014, in Beijing was used as a case to validate the effectiveness of the proposed method. Experimental results show that meteorological factors aggravate the influence of BB events on SSR. Specifically, during the BB event, meteorological factors led to an additional increase of 10.9% in diffuse radiation and an additional decrease of 17.5%, 13.1%, 181.3%, 9.7% and 86.9% in global radiation, net radiation, horizontal direct radiation, reflected radiation and vertical direct radiation, respectively. After isolating the impact of meteorological factors on SSR in the BB event, we found that the average effects of BB aerosols on global radiation, net radiation, diffuse radiation, horizontal direct solar radiation, reflected radiation and vertical direct solar radiation during the BB event were −35.6 Wm−2 (−3.1 MJm−2day−1), −14.1 Wm−2 (−1.2 MJm−2day−1), 20.7 Wm−2 (1.8 MJm−2day−1), −67.3 Wm−2 (−5.8 MJm−2day−1), −8.9 Wm−2 (−0.8MJm−2day−1), and −132.9 Wm−2 (−11.5 MJm−2day−1), respectively. In conclusion, the weather normalization and detrended methods in this study provide a new idea for the accurate estimation of the impact of aerosols on SSR. This provides a quantitative reference for further understanding the impacts of atmospheric pollution on SSR. © 2023",,,,
"Variation of Aerosol Optical Properties over Cluj-Napoca, Romania, Based on 10 Years of AERONET Data and MODIS MAIAC AOD Product","Aerosols play an important role in Earth’s climate system, and thus long-time ground- based measurements of aerosol optical properties are useful in understanding this role. Ten years of quality-assured measurements between 2010 and 2020 are used to investigate the aerosol climatology in the Cluj-Napoca area, in North-Western Romania. In this study, we analyze the aerosol optical depth (AOD), single scattering albedo (SSA) and angstrom exponent obtained by the CIMEL sun photometer, part of the aerosol robotic network (AERONET), to extract the seasonality of aerosols in the region and investigate the aerosol climatology of the area. Higher aerosol loads are found during July and August. The angstrom exponent has the lowest values in April and May, and the highest in August. The classification of aerosols using AERONET data is performed to separate dust, biomass burning, polluted urban, marine and continental-dominant aerosol mixtures. In addition, the study presents the validation efforts of the Multi-Angle Implementation of Atmospheric Correction (MAIAC) dataset against AERONET AOD over a 10-year period. © 2023 by the authors.",,,,
Chemical and dynamical identification of emission outflows during the HALO campaign EMeRGe in Europe and Asia,"The number of large urban agglomerations is steadily increasing worldwide. At a local scale, their emissions lead to air pollution, directly affecting people's health. On a global scale, their emissions lead to an increase of greenhouse gases, affecting climate. In this context, in 2017 and 2018, the airborne campaign EMeRGe (Effect of Megacities on the transport and transformation of pollutants on the Regional to Global scales) investigated emissions of European and Asian major population centres (MPCs) to improve the understanding and predictability of pollution outflows. Here, we present two methods to identify and characterise pollution outflows probed during EMeRGe. First, we use a set of volatile organic compounds (VOCs) as chemical tracers to characterise air masses by specific source signals, i.e. benzene from anthropogenic pollution of targeted regions, acetonitrile from biomass burning (BB, primarily during EMeRGe-Asia), and isoprene from fresh biogenic signals (primarily during EMeRGe-Europe. Second, we attribute probed air masses to source regions and estimate their individual contribution by constructing and applying a simple emission uptake scheme for the boundary layer which combines FLEXTRA back trajectories and EDGAR carbon monoxide (CO) emission rates (acronyms are provided in the Appendix). During EMeRGe-Europe, we identified anthropogenic pollution outflows from northern Italy, southern Great Britain, the Belgium-Netherlands-Ruhr (BNR) area and the Iberian Peninsula. Additionally, our uptake scheme indicates significant long-range transport of pollution from the USA and Canada. During EMeRGe-Asia, the pollution outflow is dominated by sources in China and Taiwan, but BB signals from Southeast Asia and India contribute as well. Outflows of pre-selected MPC targets are identified in less than 20g% of the sampling time, due to restrictions in flight planning and constraints of the measurement platform itself. Still, EMeRGe combines in a unique way near- and far-field measurements, which show signatures of local and distant sources, transport and conversion fingerprints, and complex air mass compositions. Our approach provides a valuable classification and characterisation of the EMeRGe dataset, e.g. for BB and anthropogenic influence of potential source regions and paves the way for a more comprehensive analysis and various model studies.  © Author(s) 2023. This work is distributed under the Creative Commons Attribution 4.0 License. All rights reserved. ",,,,
Using machine learning to quantify sources of light-absorbing water-soluble humic-like substances (HULISws) in Northeast China,"Water-soluble humic-like substances (HULISws) are a group of heterogeneous organic compounds in the atmosphere, greatly impacting climate change and human health. As the most significant biomass burning (BB) and fossil fuel burning polluted area in China, Northeast China Plain could generate more light absorbing HULISws to the atmosphere. In this work, daily fine particle (PM2.5) samples were collected in Changchun, located in Northeast China Plain, from October 17th to November 29th, 2016, to investigate the potential sources of optical properties of HULISws. Here, the whole sampling period was divided into three sub-periods using the density of fire spots and the timeline of the central heating: the non-heating (October 17th to October 24th), early heating (October 25th to November 13th), and normal heating (November 14th to November 29th) periods. The mean mass concentrations of HULISws were 4.2 ± 1.2, 8.6 ± 3.6, and 2.4 ± 1.3 μg m−3 during the non-heating, early heating, and normal heating periods, respectively. The positive matrix factorization (PMF) model results suggested that the contribution of primary BB, secondary BB, and fossil fuel burning emissions were 46%, 24%, and 19% during the non-heating period, 22%, 29%, and 17% during the early heating period, and 13%, 16%, and 50% during the normal heating period, respectively. Combining the PMF results with the random forest (RF) algorithm, the contribution of each source to the optical properties was quantified. Here, BB still dominated the optical properties of HULISws in Northeast China. During the study period, the primary BB and secondary BB contributed 25% and 34% in the light absorption coefficient (Abs), 22% and 33% in the mass absorption exponent (MAE), and 17% and 33% in the absorption Ångström exponent (AAE), respectively. Other sources like cooking and fossil combustion contributed 25% and 35% in Abs, 35% and 26% in MAE, and 16% and 33% in AAE, respectively. © 2022 Elsevier Ltd",,,,
Effects of COVID-19 lockdown measures on nitrogen dioxide and black carbon concentrations close to a major Italian motorway,"During the first half of 2020, the Italian government imposed several restrictions to limit the spread of the COVID-19 pandemic: at the beginning of March, a heavy lockdown regime was introduced leading to a drastic reduction of traffic and, consequently, traffic-related emissions. The aim of this study is to evaluate the effects of these restrictions on pollutant concentrations close to a stretch of the Italian A22 motorway lying in the Alpine Adige valley. In particular, the analysis focuses on measured concentrations of nitrogen dioxide (NO2) and black carbon (BC). Results show that, close to the motorway, NO2 concentrations dropped by around 45% during the lockdown period with respect to the same time period of the previous 3 years. The equivalent analysis for BC shows that the component related to biomass burning, mostly due to domestic heating, was not particularly affected by the restrictions, while the BC component related to fossil fuels, directly connected to traffic, plummeted by almost 60% with respect to the previous years. Since atmospheric concentrations of pollutants depend both on emissions and meteorological conditions, which can mask the variations in the emission regime, a random forest algorithm is also applied to the measured concentrations, in order to better evaluate the effects of the restrictions on emissions. This procedure allows for obtaining business-as-usual and meteorologically normalized time series of both NO2 and BC concentrations. The results derived from the random forest algorithm clearly confirm the drop in NO2 emissions at the beginning of the lockdown period, followed by a slow and partial recovery in the following months. They also confirm that, during the lockdown, emissions of the BC component due to biomass burning were not significantly affected, while those of the BC component related to fossil fuels underwent an abrupt drop. © 2023 The Authors. Meteorological Applications published by John Wiley & Sons Ltd on behalf of Royal Meteorological Society.",,,,
"Development of current and future high-resolution gridded emission inventory of anthropogenic air pollutants for urban air quality studies in Hanoi, Vietnam","A high-resolution (1 km × 1 km) emission inventory was developed for Hanoi for 2017 and 2018. The total annual emissions of PM2.5, BC, OC, NOx, SO2, NMVOC, NH3, CH4, and CO were 14.9, 1.6, 2.9, 56.7, 19.1, 109.2, 23.0, 37.9, and 472.7 Gg, respectively. Transportation, industry, and agriculture contributed 89.1%, 92.2%, and 81.3% to the total emissions of PM2.5, BC, and OC, respectively. Transportation contributed 72.4%, 52.1%, and 72.5% to the emissions of NOx, NMVOC, and CO, respectively. Industry contributed 64.9% to the emissions of SO2. Agriculture was a major source of NH3 and CH4, contributing 84.2% and 76.6%, respectively. Future emissions of select sectors were estimated for 2030. The emissions from transportation can increase in the range of 26.9% (CH4) to 245.8% (NH3), despite the consideration of the EURO 5 standard. For domestic cooking, transitioning from coal to liquefied petroleum gas can help reduce the emissions of most pollutants in the range of 10.4% (NH3) to 52.6% (OC), except NOx and NMVOC. The crop residue burning (CRB) ban could reduce emissions in the range of 0.27 Gg (SO2) to 138.4 Gg (CO) in 2030, respectively. The study can help policy-makers to develop strategies for air pollution mitigation in developing economies such as Hanoi. © 2022",,,,
Diffusion Coefficients and Mixing Times of Organic Molecules in β-Caryophyllene Secondary Organic Aerosol (SOA) and Biomass Burning Organic Aerosol (BBOA),"Information on the diffusion rates of organic molecules within secondary organic aerosol (SOA) and biomass burning organic aerosol (BBOA) is needed to predict the impact of these aerosols on atmospheric chemistry, air quality, and climate. Nevertheless, no studies have measured diffusion rates of organics within SOA generated from β-caryophyllene or within BBOA. Here, we measured diffusion rates of organic molecules in laboratory-generated SOA and BBOA as a function of water activity (aw) using fluorescence recovery after photobleaching. The SOA was generated by the ozonolysis of β-caryophyllene, and the BBOA was generated by the pyrolysis of pine wood. Only the water-soluble component of the BBOA was studied. The measured diffusion coefficients of organic molecules in β-caryophyllene range from 1.1 × 10-16 to 1.3 × 10-14 m2 s-1 for aw values ranging from 0.23 to 0.86. For BBOA, the diffusion coefficients range from 7.3 × 10-17 to 6.6 × 10-16 m2 s-1 for aw values ranging from 0.23 to 0.43. Based on these values, the mixing times of organic molecules within a 200 nm SOA or BBOA are less than 1 min for aw values >0.23. Since aw values are often greater than 0.23 in the planetary boundary layer and temperatures in the planetary boundary are often within 5 K of our experimental temperatures, mixing times are likely often short in that part of the atmosphere for the types of aerosols studied here. For β-caryophyllene SOA, we compared the measured diffusion coefficients with predictions based on the Stokes-Einstein relation and the fractional Stokes-Einstein relation. For both the Stokes-Einstein and the fractional Stokes-Einstein relations, the measured diffusion coefficients agree with the predicted diffusion coefficients. This work illustrates that when the radius of the diffusing molecules is greater than the average radius of the matrix molecules, the Stokes-Einstein equation is able to predict diffusion coefficients in β-caryophyllene SOA with reasonable accuracy.  © 2021 American Chemical Society.",,,,
"Differential effects of the covid-19 lockdown and regional fire on the air quality of medellín, colombia","Governments’ responses to the COVID-19 pandemic provide a unique opportunity to study the effects of restricted socioeconomic activity on air quality. Here, we study the changes in air pollution levels during the lockdown in Medellín and its metropolitan area, Colombia, for periods with and without enhanced regional fire activity, considering the effects of meteorology using random forest and multiple linear regression methods. The lockdown measures, which reduced mean traffic volume by 70% compared to 2016–2019, resulted in reductions for PM2.5 (50–63%), PM10 (59–64%), NO (75–76%), NO2 (43–47%), and CO (40–47%), while O3 concentration increased by 19–22%. In contrast, when fire activity was high, the effects of the lockdown on air quality were shadowed by the long-range transport of biomass burning emissions, increasing fine particulate matter and ozone. This study shows that healthier levels are achievable through significant efforts from decision-makers and society. The results highlight the need to develop integral measures that do not only consider reductions in the local emissions from transportation and industry, but also the role of fire activity in the region, as well as the difficulties of achieving reductions in ozone from measures that are effective at reducing primary pollutants. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,,,
"Aerosols over East and South Asia: Type Identification, Optical Properties, and Implications for Radiative Forcing","Identification of aerosol types has long been a difficult problem over East and South Asia due to various limitations. In this study, we use 2-dimensional (2-D) and multi-dimensional Mahalanobis distance (MD) clustering algorithms to identify aerosol characteristics based on the data from the Aerosol Robotic Network from March 1998 to February 2018 over the South and East Asian region (10◦ N~50◦ N, 70◦ E~135◦ E). The single scattering albedo (SSA), absorption Angstrom exponent (AAE), extinction Angstrom exponent (EAE), real index of refraction (RRI), and imaginary index of refraction (IRI) are utilized for classification of aerosols. Sub-regions with similar background conditions over East and South Asia are identified by hierarchical clustering algorithm to illustrate distinctive meteorological states in different areas. The East and South Asian aerosols are found to have distinct regional and seasonal features relating to the meteorological conditions, land cover, and industrial infrastructure. It is found that the proportions of dust aerosol are the highest in spring at the SACOL site and in summer at the sites near the Northern Indo-Gangetic Plain area. In spring, biomass-burning aerosols are dominant over the central Indo-China Peninsula area. The aerosol characteristics at coastal sites are also analyzed and compared with previous results. The 2-D clustering method is useful when limited aerosol parameters are available, but the results are highly dependent on the sets of parameters used for identification. Comparatively, the MD method, which considers multiple aerosol parameters, could provide more comprehensive classification of aerosol types. It is estimated that only about 50% of the data samples that are identifiable by the MD method could be classified by the 2-D methods, and a lot of undetermined data samples could be mis-classified by the 2-D methods. The aerosol radiative forcing (ARF) and the aerosol radiative forcing efficiency (ARFE) of various aerosol types at the top and the bottom of the atmosphere (TOA and BOA) are determined based on the MD aerosol classification. The dust aerosols are found to have the largest ARF at the TOA (−36 W/m2 ), followed by the urban/industrial aerosols and biomass-burning aerosols. The ARFE of biomass-burning aerosols at the BOA (−165 W/m2 /AOD550nm ) is the strongest among those of the other aerosol types. The comparison of the results by MD and 2-D methods shows that the differences in ARF and ARFE are generally within 10%. Our results indicate the importance of aerosol type classification in accurately attributing the radiative contributions of different aerosol components. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",,,,
An aerosol classification scheme for global simulations using the K-means machine learning method,"The K-means machine learning algorithm is applied to climatological data of seven aerosol properties from a global aerosol simulation using EMAC-MADE3. The aim is to partition the aerosol properties across the global atmosphere in specific aerosol regimes; this is done mainly for evaluation purposes. K-means is an unsupervised machine learning method with the advantage that an a priori definition of the aerosol classes is not required. Using K-means, we are able to quantitatively define global aerosol regimes, so-called aerosol clusters, and explain their internal properties and their location and extension. This analysis shows that aerosol regimes in the lower troposphere are strongly influenced by emissions. Key drivers of the clusters' internal properties and spatial distribution are, for instance, pollutants from biomass burning and biogenic sources, mineral dust, anthropogenic pollution, and corresponding mixtures. Several continental clusters propagate into oceanic regions as a result of long-range transport of air masses. The identified oceanic regimes show a higher degree of pollution in the Northern Hemisphere than over the southern oceans. With increasing altitude, the aerosol regimes propagate from emission-induced clusters in the lower troposphere to roughly zonally distributed regimes in the middle troposphere and in the tropopause region. Notably, three polluted clusters identified over Africa, India, and eastern China cover the whole atmospheric column from the lower troposphere to the tropopause region. The results of this analysis need to be interpreted taking the limitations and strengths of global aerosol models into consideration. On the one hand, global aerosol simulations cannot estimate small-scale and localized processes due to the coarse resolution. On the other hand, they capture the spatial pattern of aerosol properties on the global scale, implying that the clustering results could provide useful insights for aerosol research. To estimate the uncertainties inherent in the applied clustering method, two sensitivity tests have been conducted (i) to investigate how various data scaling procedures could affect the K-means classification and (ii) to compare K-means with another unsupervised classification algorithm (HAC, i.e. hierarchical agglomerative clustering). The results show that the standardization based on sample mean and standard deviation is the most appropriate standardization method for this study, as it keeps the underlying distribution of the raw data set and retains the information of outliers. The two clustering algorithms provide similar classification results, supporting the robustness of our conclusions. The classification procedures presented in this study have a markedly wide application potential for future model-based aerosol studies. © Copyright: ",,,,
Ground-based investigation of HOxand ozone chemistry in biomass burning plumes in rural Idaho,"Ozone (O3), a potent greenhouse gas that is detrimental to human health, is typically found in elevated concentrations within biomass burning (BB) smoke plumes. The radical species OH, HO2, and RO2 (known collectively as ROx) have central roles in the formation of secondary pollutants including O3 but are poorly characterized for BB plumes. We present measurements of total peroxy radical concentrations ([XO2]¯[HO2]+[RO2]) and additional trace-gas and particulate matter measurements from McCall, Idaho, during August 2018. There were five distinct periods in which BB smoke impacted this site. During BB events, O3 concentrations were enhanced, evident by ozone enhancement ratios (δO3/δCO) that ranged up to 0.06ppbvppbv-1. [XO2] was similarly elevated during some BB events. Overall, instantaneous ozone production rates (P(O3)) were minimally impacted by the presence of smoke as [NOx] enhancements were minimal. Measured XO2 concentrations were compared to zero-dimensional box modeling results to evaluate the Master Chemical Mechanism (MCM) and GEOS-Chem mechanisms overall and during periods of BB influence. The models consistently overestimated XO2 with the base MCM and GEOS-Chem XO2 predictions high by an average of 28% and 20%, respectively. One period of BB influence had distinct measured enhancements of 15pptv XO2 that were not reflected in the model output, likely due to the presence of unmeasured HOx sources. To the best of our knowledge, this is the first BB study featuring peroxy radical measurements. © 2022 Andrew J. Lindsay et al.",,,,
"Fuel consumption rates in resprouting eucalypt forest during hazard reduction burns, cultural burns and wildfires","Accurate estimation of emissions from biomass burning and their impact on carbon storage requires pre and post-fire plot measurement of fuel consumption across a range of forest types and fire severities, and this information is currently far from comprehensive in Australia or elsewhere. We measured fine and coarse fuels in 44 sites before and after 20 fires including cultural burns, hazard reduction burns and wildfires in resprouting dry sclerophyll (eucalypt) forests in the Sydney region of Australia. We compared consumption among the classes of fire severity and fire types. Most of the fires removed the great majority of fine litter and near surface fuels (mean 68% and 94% respectively) but a smaller and more variable percentage of other fine components and coarse fuels. Consumption was largely a function of pre-fire fuel levels. However, percentage consumption varied according to fire severity. Remaining fuel was negatively, and fresh fuel (i.e. immediate post-fire inputs) positively related to fire severity so that the two were in balance for litter, twigs and coarse woody debris. A higher proportion of twigs and coarse woody debris were consumed in hazard reduction and wildfires than in cultural burns, and more canopy and tree wood was consumed in wildfire than the other fire types. Total fuel consumption was 12.8 t ha−1 (13% of pre-fire) in cultural burns, 75.7 t ha−1 (27%) in hazard reductions, and 123.5 t ha−1 (38%) in wildfires. This was dominated by tree biomass consumption (69% of total). Our estimates for hazard reduction burns are higher than most previous studies from Australian forests, probably because our fires spanned a greater range of severities. Our study provides a benchmark for estimating fire emissions and carbon dynamics for the region and will contribute to improving predictions of the impact of hazard reduction burns on fire behaviour and smoke emissions. © 2021 Elsevier B.V.",,,,
A remote sensing based study of tropospheric ozone concentration amid COVID-19 lockdown over India using Sentinel-5P satellite data,"Amid the COVID-19 crisis, governments all over the world, and not excluding India, took to lockdown measures to deaccelerate the spread of the COVID-19 virus. This led to reduction of atmospheric pollution by declining the harmful Nitrogen and Sulphur Oxide (NOX and SOX) concentrations. However, one hand while the stratospheric Ozone (O3) showed repair, the lower atmospheric O3 concentrations demonstrated a remarkable increase during lockdown phase over India. This study aims to estimate the O3 concentration during the Covid-19 lockdown over Pune city in India using freely available Sentinel-5P satellite datasets. The study makes use of the Ordinary Least Squares (OLS) and Random Forest (RF) regressions and compares the findings of the two algorithms based on estimation results. This study utilizes lower atmospheric O3 concentration data from Sentinel-5P satellite of the European Space Agency (ESA) over the Indian mainland for a month of lockdown scenario (March 22nd, 2020, to April 25th, 2020) and shows the remarkable increase in concentration of O3 gas as a pollutant. Despite the complete lockdown over India during this given time frame, there has been enough emission of O3 precursors from other sources such as stubble burning. The estimates of tropospheric O3 concentration for May 2020 for Pune city, using OLS and RF Regressions, have been validated with May 2020 data. The results have provided a RMSE of 1.05 and 1.23 with R2-statistics of 0.90 and 0.857 in training and testing phases for OLS and RMSE of 0.98 and MAE of 1.07 with R2-statistics of 0.968 and 0.895 in training and testing phases of the RF. The outcome of this study has proven that O3 gas concentrations in the atmosphere depends upon various other causative factors apart from the precursor gases. The study also shows that the remotely sensed Sentinel-5P datasets, supplemented with ground-based sensor data can help in time and cost saving estimation of O3 concentrations in the troposphere with considerable accuracy. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",,,,
Deep Neural Networks for Aerosol Optical Depth Retrieval,"Aerosol Optical Depth (AOD) is a measure of the extinction of solar radiation by aerosols in the atmosphere. Understanding the variations of global AOD is necessary for precisely determining the role of aerosols. Arctic warming is partially caused by aerosols transported from vast distances, including those released during biomass burning events (BBEs). However, measuring AODs is challenging, typically requiring active LIDAR systems or passive sun photometers. Both are limited to cloud-free conditions; sun photometers provide only point measurements, thus requiring more spatial coverage. A more viable method to obtain accurate AOD may be found through machine learning. This study uses DNNs to estimate Svalbard’s AODs using a minimal set of meteorological parameters (temperature, air mass, water vapor, wind speed, latitude, longitude, and time of year). The mean absolute error (MAE) between predicted and true data was 0.00401 for the entire set and 0.0079 for the validation set. It was then shown that the inclusion of BBE data improves predictions by 42.167%. It was demonstrated that AODs may be accurately estimated without the use of expensive instrumentation, using machine learning and minimal data. Similar models may be developed for other regions, allowing immediate improvement of current meteorological models. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",,,,
